,HER_2024_06_17_17_50_17.sdds,HER_2024_06_17_17_51_02.sdds,HER_2024_06_17_17_51_31.sdds,HER_2024_06_17_17_52_05.sdds,HER_2024_06_17_17_52_33.sdds,HER_2024_06_17_17_53_03.sdds,HER_2024_06_17_17_53_37.sdds
MQC1LE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQC2LE,0.021829799361,0.01660318037,0.021796369841,0.015450389234,0.0094889828806,0.014949846717,0.007634331501
MQLC3LE,,-0.17030542581,-0.167696019489,-0.138865840245,-0.110011638647,-0.212840288314,-0.112371234215
MQLC7LE,-0.013114992088,-0.015392938456,-0.0137536035587,-0.00505613853,-0.0078809905076,-0.004288710547,-0.000231592619
MQLB1LE,-0.023591403529,-0.0188813225466,-0.015293033288,-0.00856145109,-0.0188492730756,-0.001483426926,-0.01197330509
MQLB4LE,,,,,,0.059606828168,-0.141233033401
MQLA2LE,,,,,,-0.046681281198,
MQLA5LE,0.019058355961,0.012536827943,0.016102065161,0.0315142824678,0.0147550094124,-0.006774545078,0.003147829403
MQD3E1,0.152379758989,0.14722922039,0.078044652796,0.0897027426,0.0843604301234,0.0132625158838,0.026014158229
MQEAE4,-0.194977776888,-0.167542808761,-0.164277813283,-0.161254041341,-0.169011222785,-0.197687116455,-0.249195808807
MQD3E4,0.05684227877,0.0172986393783,0.009440553389,0.014466414117,0.0107514794644,0.038903685154,0.0107060796423
MQEAE6,,-0.053933625042,0.064243262982,-0.006408725225,-0.0126514975966,0.0035245255165,0.029859112798
MQTATNE1,,-0.0826590062591,-0.03004384199,-0.142237915147,-0.0233953767226,-0.036218796086,0.037291923491
MQTATNE2,-0.062458705565,-0.065596478309,-0.0442702472112,-0.040088308254,-0.0421506556616,-0.040304482245,-0.042927161754
MQEAE8,,0.014504641464,-0.0632586820899,-0.091054440458,-0.0428643425826,-0.081019748645,-0.017942338713
MQEAE10,,-0.079998736428,-0.034004487545,-0.0322436936396,-0.0662519819876,-0.04609076469,-0.058327433454
MQEAE11,-0.443436270051,,-0.379857684576,-0.340356827661,-0.458093175986,-0.418507965808,-0.441346645544
MQR2NE1,,,,,-0.174063814531,-0.123743330428,-0.059089475945
MQFRNE3,,,,-0.119908891205,,-0.159055660236,-0.11836510725
MQDRNE5,,0.017046378372,-0.0169067132212,0.008140907306,0.0129174359284,0.020254837152,0.010599085392
MQEAE13,,-0.08841233487,-0.090247891145,-0.127843446766,-0.0700602770126,-0.076672812991,-0.062955679789
MQD3E12,,0.486153226461,-0.47834641999,-0.497647195671,-0.494013880015,0.450493639314,-0.485034381442
MQEAE16,-0.46110299998,,-0.486580037844,-0.481159521323,-0.481648460305,-0.44035021225,0.42098852381
MQD3E14,,-0.412634090216,-0.43048797314,-0.445709534604,0.0252612503014,-0.440893803559,-0.436448838417
MQEAE18,,,,0.230088710957,-0.0452598809392,0.413446999276,-0.487221747011
MQTANFE1,-0.385623474677,-0.431292118729,-0.436764561604,-0.419954143439,-0.430550670791,-0.444629433082,-0.43618172819
MQD3E16,,0.465818554425,-0.498995011677,-0.493268408967,-0.490093808165,0.486041717661,0.377090485756
MQEAE20,,,,,,,
MQD3E18,,,,,,,
MQEAE22,,-0.338202356753,-0.359566711918,-0.360775046072,-0.350648533573,-0.416505949325,-0.460315527406
MQEAE23,,,0.291248751918,,,0.200565574076,0.222120851516
MQI6E,-0.400917515514,-0.415405739676,-0.4135808689,-0.422925437916,-0.428944351948,-0.445674191104,-0.46070522948
MQI5E,-0.458257611202,-0.458786252994,-0.467698661737,-0.468358912347,-0.469191901839,-0.476383914321,-0.468686917487
MQI4E,-0.455430085415,-0.485312457953,-0.473253473295,-0.473164122346,-0.473679578156,-0.467852398848,0.488171522049
MQX2RE,0.450806698424,,-0.489055572732,-0.429930670885,-0.420688858565,-0.428140505425,-0.448330661186
MQM2E,,-0.436360537408,-0.418035181128,-0.459491224009,-0.416213113526,-0.471250970454,-0.413258743467
MQM7E,-0.364470822835,-0.431038936056,-0.38660449538,-0.413052225229,-0.390765965841,-0.391815299239,-0.454224147128
MQEAE25,,,,,0.0186420310674,,
MQD3E21,,-0.001311351059,-0.014319663125,0.042121639958,-0.0135558867966,0.014676189259,-0.09756487369
MQEAE27,,0.499995810313,0.487625681445,0.460299156738,0.456757305311,0.357671465854,0.464753050663
MQD3E23,0.215064787527,0.147284215307,,,0.0653544751804,0.133856182909,0.062495799441
MQEAE29,0.083838347822,0.044762827536,0.039153040764,0.06618600379,0.0461230524943,-0.007518514343,0.047882551068
MQEAE30,0.189390831271,0.142616720107,0.194274759587,0.180594788886,0.153828214627,0.0120354642956,0.162018657587
MQTAFOE1,-0.016583937607,0.092191415934,0.038647197078,0.055321501832,0.0397023546981,-0.015562932986,0.028851556906
MQTAFOE2,0.089610845205,0.091441621647,0.0849363223257,0.106146080549,0.0599884682334,0.06525148419,0.065184566507
MQEAE32,,0.117119805821,-0.012923922221,0.0519018134279,0.0311890911244,0.038181213501,0.00719766145
MQEAE33,,,0.364206779378,0.436243718933,0.415589910294,0.309391817237,0.321313921804
MQD3E29,,,0.074957667167,0.095326388889,0.0521524591704,0.050423075159,0.0332873547574
MQEAE35,,,,,,,
MQR2ORE,,,,,,,
MQDROE5,,,0.114648554191,,0.0656056180524,0.098833326766,0.042965208916
MQD3E31,0.168863893444,0.158999341329,0.158719044494,0.148075069369,0.137162161735,0.136289803827,0.12263912954
MQEAE39,,,,,0.0843976468044,0.0987103397251,-0.215195024025
MQD3E33,,,,-0.0381515405108,-0.0640108862496,0.001450595966,-0.0019827041556
MQEAE41,,0.147413925188,0.176366542221,0.142096450884,0.126384940037,0.113162757319,0.069598782043
MQTAOTE1,,0.066098380694,-0.0128002117221,0.055911488734,0.0208474635824,0.044005196961,-0.133332580913
MQTAOTE2,,0.185089804207,0.227206411592,0.183451634577,0.177477157693,0.1489291427,0.153166741203
