   INFO | Calculating optics parameters - code version 0.24.4 | optics_measurements.measure_optics
   INFO | -- Run phase calculation with requested compensation | optics_measurements.phase
   INFO | Calculating phase advances | optics_measurements.phase
   INFO | Measured tune in plane X = 0.5362810375407087 | optics_measurements.phase
   INFO | Writing phases: 2 | optics_measurements.phase
   INFO | Phase advance beating in phase_x.tfs = 0.16841836593983134 | optics_measurements.phase
   INFO | Phase advance beating in total_phase_x.tfs = 0.2874232693035426 | optics_measurements.phase
  DEBUG | Accelerator Error Definition | optics_measurements.beta_from_phase
  DEBUG | Start creating uncertainty information | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^Q | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^S | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^MQ | optics_measurements.beta_from_phase
  DEBUG | DONE creating uncertainty information | optics_measurements.beta_from_phase
WARNING | No best knowledge model - using the normal one. | optics_measurements.beta_from_phase
   INFO | Errors from Analytical N-BPM method | optics_measurements.beta_from_phase
   INFO |  - RMS beta beat: 31.797% | optics_measurements.beta_from_phase
  DEBUG | Accelerator SKekB has not get_ips method. | optics_measurements.interaction_point
   INFO | -- Run phase calculation with requested compensation | optics_measurements.phase
   INFO | Calculating phase advances | optics_measurements.phase
   INFO | Measured tune in plane Y = 0.536245050214385 | optics_measurements.phase
   INFO | Writing phases: 2 | optics_measurements.phase
   INFO | Phase advance beating in phase_y.tfs = 0.1721100578165706 | optics_measurements.phase
   INFO | Phase advance beating in total_phase_y.tfs = 0.2709049189290082 | optics_measurements.phase
  DEBUG | Accelerator Error Definition | optics_measurements.beta_from_phase
  DEBUG | Start creating uncertainty information | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^Q | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^S | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^MQ | optics_measurements.beta_from_phase
  DEBUG | DONE creating uncertainty information | optics_measurements.beta_from_phase
WARNING | No best knowledge model - using the normal one. | optics_measurements.beta_from_phase
   INFO | Errors from Analytical N-BPM method | optics_measurements.beta_from_phase
   INFO |  - RMS beta beat: 62.658% | optics_measurements.beta_from_phase
  DEBUG | Accelerator SKekB has not get_ips method. | optics_measurements.interaction_point
   INFO | Calculating coupling | optics_measurements.coupling
  DEBUG | Intersecting measurements, starting with model | optics_measurements.coupling
  DEBUG | Averaging (arithmetic mean) amplitude columns | optics_measurements.coupling
  DEBUG | Averaging (circular mean) frequency columns | optics_measurements.coupling
  DEBUG | Finding BPM pairs for momentum reconstruction | optics_measurements.coupling
  DEBUG | Computing complex lines from spectra | optics_measurements.coupling
  DEBUG | Computing average of coupling RDTs | optics_measurements.coupling
  DEBUG | Getting tune separation from measurements | optics_measurements.coupling
  DEBUG | Calculating approximated Cminus | optics_measurements.coupling
   INFO | |C-| (approx) = 0.06940, tune_sep = 0.036, from Eq.1 in PRSTAB 17,051004 | optics_measurements.coupling
  DEBUG | Calculating exact Cminus | optics_measurements.coupling
   INFO | |C-| (exact)  = 0.02357, from Eq.2 w/o i*s*Delta/R in PRSTAB 17,051004 | optics_measurements.coupling
  DEBUG | Adding model values and deltas | optics_measurements.coupling
  DEBUG | Computing RDT amplitude values | optics_measurements.coupling
  DEBUG | Computing phase values | optics_measurements.coupling
  DEBUG | Computing deviation from model | optics_measurements.coupling
  DEBUG | Computing error values | optics_measurements.coupling
  DEBUG | Adding real and imaginary parts columns | optics_measurements.coupling
  DEBUG | Computing RDT amplitude values | optics_measurements.coupling
  DEBUG | Computing phase values | optics_measurements.coupling
  DEBUG | Computing deviation from model | optics_measurements.coupling
  DEBUG | Computing error values | optics_measurements.coupling
  DEBUG | Adding real and imaginary parts columns | optics_measurements.coupling
   INFO | Start of RDT analysis | optics_measurements.rdt
   INFO | Calculating RDTs up to magnet order 4 | optics_measurements.rdt
   INFO | Single Plane RDTs: Average phase advance between BPM pairs: 0.21725210358564587 | optics_measurements.rdt
   INFO | Single Plane RDTs: Average phase advance between BPM pairs: 0.26326670489751336 | optics_measurements.rdt
   INFO | Double Plane RDTs: Average phase advance between BPM pairs: 0.27711040748215227 | optics_measurements.rdt
   INFO | Double Plane RDTs: Average phase advance between BPM pairs: 0.26326670489751336 | optics_measurements.rdt
