,HER_2024_06_17_17_50_17.sdds,HER_2024_06_17_17_51_02.sdds,HER_2024_06_17_17_51_31.sdds,HER_2024_06_17_17_52_05.sdds,HER_2024_06_17_17_52_33.sdds,HER_2024_06_17_17_53_03.sdds,HER_2024_06_17_17_53_37.sdds
MQC1LE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQC2LE,0.021829799361,0.01660318037,0.021796369841,0.015450389234,0.0094889828806,0.014949846717,0.007634331501
MQLC3LE,,-0.17030542581,-0.167696019489,-0.138865840245,-0.110011638647,-0.212840288314,-0.112371234215
MQLC7LE,-0.013114992088,-0.015392938456,-0.0137536035587,-0.00505613853,-0.0078809905076,-0.004288710547,-0.000231592619
MQLB1LE,-0.023591403529,-0.0188813225466,-0.015293033288,-0.00856145109,-0.0188492730756,-0.001483426926,-0.01197330509
MQLB4LE,,,,,,0.059606828168,-0.141233033401
MQLA2LE,,,,,,-0.046681281198,
MQLA5LE,0.019058355961,0.012536827943,0.016102065161,0.0315142824678,0.0147550094124,-0.006774545078,0.003147829403
MQD3E1,0.152379758989,0.14722922039,0.078044652796,0.0897027426,0.0843604301234,0.0132625158838,0.026014158229
MQEAE4,-0.194977776888,-0.167542808761,-0.164277813283,-0.161254041341,-0.169011222785,-0.197687116455,-0.249195808807
MQD3E4,0.05684227877,0.0172986393783,0.009440553389,0.014466414117,0.0107514794644,0.038903685154,0.0107060796423
MQEAE6,,-0.053933625042,0.064243262982,-0.006408725225,-0.0126514975966,0.0035245255165,0.029859112798
MQTATNE1,,-0.0826590062591,-0.03004384199,-0.142237915147,-0.0233953767226,-0.036218796086,0.037291923491
MQTATNE2,-0.062458705565,-0.065596478309,-0.0442702472112,-0.040088308254,-0.0421506556616,-0.040304482245,-0.042927161754
MQEAE8,,0.014504641464,-0.0632586820899,-0.091054440458,-0.0428643425826,-0.081019748645,-0.017942338713
MQEAE10,,-0.079998736428,-0.034004487545,-0.0322436936396,-0.0662519819876,-0.04609076469,-0.058327433454
MQEAE11,0.020694370162,,0.0839500540199,0.123058771295,0.0046775884774,0.04337142343,0.019966339661
MQR2NE1,,,,,-0.174063814531,-0.123743330428,-0.059089475945
MQFRNE3,,,,-0.119908891205,,-0.159055660236,-0.11836510725
MQDRNE5,,0.017046378372,-0.0169067132212,0.008140907306,0.0129174359284,0.020254837152,0.010599085392
MQEAE13,,-0.08841233487,-0.090247891145,-0.127843446766,-0.0700602770126,-0.076672812991,-0.062955679789
MQD3E12,,-0.049874987002,-0.01444867306,-0.034267948213,-0.0311819068316,-0.087232852955,-0.023617671363
MQEAE16,0.003054292569,,-0.022780091075,-0.017773939814,-0.0184356787957,0.021574820138,-0.117981656928
MQD3E14,,0.0514351931904,0.033325479345,0.017963726308,0.0252612503014,0.020997296722,0.0250456693895
MQEAE18,,,,-0.30686684125,-0.0452598809392,-0.124770837409,-0.025952157783
MQTANFE1,0.078509896382,0.0327049866821,0.027015888878,0.043478756546,0.0322681007264,0.01720310459,0.025387327178
MQD3E16,,-0.070256621292,-0.035180233035,-0.02987158655,-0.0273252834866,-0.051932198691,-0.161667137007
MQEAE20,,,,,,,
MQD3E18,,,,,,,
MQEAE22,,0.12576087423,0.104361339828,0.102686719228,0.112179144933,0.045134663467,0.000893767338999
MQEAE23,,,-0.244906358265,,,-0.337225671811,-0.316515508834
MQI6E,0.063208424214,0.04856292425,0.050245095406,0.04049277431,0.0338562700894,0.016309168175,0.000799300694002
MQI5E,0.005852567155,0.005169371797,-0.003880231371,-0.004926914167,-0.0063887985058,-0.014344011418,-0.007274150793
MQI4E,0.008737562963,-0.021365341658,-0.009438404101,-0.009753784072,-0.0108865152888,-0.005898217725,-0.050490006749
MQX2RE,-0.085119914453,,-0.025308502349,0.033444899309,0.0421193309359,0.033794171222,0.013064845097
MQM2E,,0.0275915285968,0.045877872943,0.00399926403,0.0466004991534,-0.009367786404,0.0482514623468
MQM7E,0.099591810451,0.032979142476,0.0772908369131,0.050384400293,0.0720424994434,0.070063374323,0.006936573312
MQEAE25,,,,,0.481665754134,,
MQD3E21,,-0.001311351059,-0.014319663125,0.042121639958,-0.0135558867966,0.014676189259,-0.09756487369
MQEAE27,,0.499995810313,0.487625681445,0.460299156738,0.456757305311,0.357671465854,0.464753050663
MQD3E23,0.215064787527,0.147284215307,,,0.0653544751804,0.133856182909,0.062495799441
MQEAE29,0.083838347822,0.044762827536,0.039153040764,0.06618600379,0.0461230524943,-0.007518514343,0.047882551068
MQEAE30,0.189390831271,0.142616720107,0.194274759587,0.180594788886,0.153828214627,0.0120354642956,0.162018657587
MQTAFOE1,-0.016583937607,0.092191415934,0.038647197078,0.055321501832,0.0397023546981,-0.015562932986,0.028851556906
MQTAFOE2,0.089610845205,0.091441621647,0.0849363223257,0.106146080549,0.0599884682334,0.06525148419,0.065184566507
MQEAE32,,0.117119805821,-0.012923922221,0.0519018134279,0.0311890911244,0.038181213501,0.00719766145
MQEAE33,,,0.291800851349,0.362975721011,0.341272815724,0.233737478868,0.244818281772
MQD3E29,,,0.074957667167,0.095326388889,0.0521524591704,0.050423075159,0.0332873547574
MQEAE35,,,,,,,
MQR2ORE,,,,,,,
MQDROE5,,,0.114648554191,,0.0656056180524,0.098833326766,0.042965208916
MQD3E31,0.168863893444,0.158999341329,0.158719044494,0.148075069369,0.137162161735,0.136289803827,0.12263912954
MQEAE39,,,,,0.0843976468044,0.0987103397251,-0.215195024025
MQD3E33,,,,-0.0381515405108,-0.0640108862496,0.001450595966,-0.0019827041556
MQEAE41,,0.147413925188,0.176366542221,0.142096450884,0.126384940037,0.113162757319,0.069598782043
MQTAOTE1,,0.066098380694,-0.0128002117221,0.055911488734,0.0208474635824,0.044005196961,-0.133332580913
MQTAOTE2,,0.185089804207,0.227206411592,0.183451634577,0.177477157693,0.1489291427,0.153166741203
MQEAE44,0.016267343769,0.0441330572704,0.043115997437,0.056405963507,0.0254087722824,0.016470010264,-0.0443941191256
